Title,Company,URL
Data Engineer,Krell Consulting & Training,https://www.tecnoempleo.com/data-engineer-remoto/data-scala-python-databricks-sql/rf-2b7e1fd772e8431ef94e
Responsable Herramienta del Dato (h/m),Michael Page,https://www.tecnoempleo.com/responsable-herramienta-del-dato-h-m-madrid/data-lake/rf-ac661d9c32e75329ce4f
Arquitecto de datos - 100% remoto,Michael Page,https://www.tecnoempleo.com/arquitecto-datos-100-remoto-remoto/python-azure-databricks/rf-0ded130b72d58378cc49
Data Analyst - Proyecto estable,Michael Page,https://www.tecnoempleo.com/data-analyst-proyecto-estable-hibrido/etl-azure-data-factory-sql/rf-93bf144c828b93e54945
Data Engineer,Michael Page,https://www.tecnoempleo.com/data-engineer-hibrido/etl-ssis-azure-data-factory/rf-cc181cb8e273832ef043
IT Manager (Family Office),Michael Page,https://www.tecnoempleo.com/it-manager-family-office-barcelona/it-infrastructure-data-bi-erp/rf-2d701020a2efd38dba48
IT Business developer,GMV,https://www.tecnoempleo.com/it-business-developer-hibrido/ciberseguridad-big-data-inteligencia-artific/rf-bef316c2424073210d4b
Data Engineer,Page Personnel,https://www.tecnoempleo.com/data-engineer-sevilla/bigquery-dataflow/rf-71b71ff8920ba3228948
Data Scientist,ALTEN Spain,https://www.tecnoempleo.com/data-scientist-hibrido/data-python-sql-git/rf-927617433227b306b84f
Arquitecto/a Big Data,Randstad  Technologies Centro,https://www.tecnoempleo.com/arquitecto-big-data-hibrido/big-data-datalakes-lakehouse-datamesh-datahubs/rf-5dbe18cb226ff3d2984b
Technical Business Analyst,Page Personnel,https://www.tecnoempleo.com/technical-business-analyst-malaga/big-data/rf-ed3d13a7327f5356ad4a
Data Quality & Governance Manager,Michael Page,https://www.tecnoempleo.com/data-quality-governance-manager-madrid/big-data-python-r-sql/rf-24de1890c2da038d4a4f
Data Scientist - (Empresa final),Michael Page,https://www.tecnoempleo.com/data-scientist-empresa-final-hibrido/data-machine-learning/rf-9eda19d8a22d63efc241
Becas de verano GMV 2025,GMV,https://www.tecnoempleo.com/becas-verano-gmv-2025-gmv/informatica-ciberseguridad/rf-477a172e729cb366f145
